Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Sierra Leone,1990,48.9,0,1983
Singapore,,72.5,,1983
Slovak Republic,0,70.7,0,1983
Slovenia,0,71.1,0,1983
Solomon Islands,2220,55.1,,1983
Somalia,,48.8,,1983
South Africa,2840,60.5,0,1983
South Korea,2950,68.5,,1983
South Sudan,,52.6,,1983
Spain,3050,76.2,0,1983
Sri Lanka,2310,69.3,0,1983
St. Kitts and Nevis,2330,64.6,,1983
St. Lucia,2260,69.6,0,1983
St. Vincent and the Grenadines,2410,69.4,,1983
Sudan,2040,52.3,0,1983
Suriname,2470,68.3,0,1983
Sweden,2990,76.9,0,1983
Switzerland,3460,76.6,0,1983
Syria,,69.4,0,1983
Taiwan,2660,73.2,,1983
Tajikistan,0,65.9,0,1983
Tanzania,2200,56.3,0,1983
Thailand,2150,67.9,0,1983
Timor-Leste,2130,55.6,0,1983
Togo,1860,56.6,0,1983
Tonga,,69.3,,1983
Trinidad and Tobago,3000,68.5,0,1983
Tunisia,3000,68.6,0,1983
Turkey,3430,65.7,0,1983
Turkmenistan,0,64.5,0,1983
Tuvalu,,58.3,,1983
UAE,3480,67.9,,1983
Uganda,2330,51,0,1983
UK,3110,74.5,0,1983
Ukraine,0,70.1,0,1983
Uruguay,2570,72,0,1983
USA,3230,74.8,0,1983
