Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Qatar,,71.7,,2003
Romania,3370,71.5,0.339,2003
Russia,3060,65.2,0.55,2003
Rwanda,2000,54.5,0,2003
Samoa,2830,68.9,,2003
San Marino,,81.7,,2003
Sao Tome and Principe,2510,66.2,0,2003
Saudi Arabia,3000,70.9,,2003
Senegal,2220,62.2,0,2003
Serbia,0,72.2,0.0232,2003
Serbia and Montenegro,2700,,,2003
Seychelles,,71.9,0,2003
Sierra Leone,2030,52.6,2.8,2003
Singapore,,80.4,,2003
Slovak Republic,2790,74.2,0,2003
Slovenia,3110,77,0,2003
Solomon Islands,2410,56.9,,2003
Somalia,,52.6,,2003
South Africa,2930,52.7,0,2003
South Korea,3060,77.7,,2003
South Sudan,,58.4,,2003
Spain,3300,80,0,2003
Sri Lanka,2330,73.4,0,2003
St. Kitts and Nevis,2460,71.1,,2003
St. Lucia,2640,73.8,0,2003
St. Vincent and the Grenadines,2690,72.2,,2003
Sudan,2280,64.1,0,2003
Suriname,2560,69.8,0,2003
Sweden,3120,80.5,0,2003
Switzerland,3430,81.1,0,2003
Syria,,73.8,0,2003
Taiwan,2990,77.9,,2003
Tajikistan,1960,67.3,2.31,2003
Tanzania,1980,55.3,0,2003
Thailand,2640,73.6,0,2003
Timor-Leste,2060,66.5,0,2003
Togo,2200,56.4,0,2003
Tonga,,71.1,,2003
Trinidad and Tobago,2750,71.1,0,2003
Tunisia,3240,74.9,0,2003
Turkey,3590,75.7,1.89,2003
Turkmenistan,2740,66.5,0,2003
Tuvalu,,65.3,,2003
UAE,3340,69.3,,2003
Uganda,2380,51.8,0,2003
UK,3400,78.6,0,2003
Ukraine,3050,68.3,0.0526,2003
Uruguay,2840,75,0.0316,2003
USA,3780,77.3,0,2003
USSR,0,,,2003
Uzbekistan,2350,64.9,,2003
Vanuatu,2750,63.7,,2003
Venezuela,2420,73.5,4.92,2003
Vietnam,2420,72.6,0,2003
Yemen,2070,64.9,0,2003
Yugoslavia,0,,,2003
Zambia,1900,46.6,7.04,2003
Zimbabwe,2010,46.4,,2003
Afghanistan,1970,57.1,,2004
Albania,2790,75.8,0.016,2004
Algeria,2990,72.6,0,2004
Andorra,,81.3,,2004
Angola,2030,55.5,0,2004
Antigua and Barbuda,2110,75.7,,2004
Argentina,3030,74.9,2.41,2004
Armenia,2550,73,0.23,2004
Australia,3050,80.9,0,2004
Austria,3610,79.5,0.0278,2004
Azerbaijan,2640,67.2,0,2004
Bahamas,2660,72.4,,2004
Bahrain,,72.3,,2004
Bangladesh,2380,67.1,0,2004
Barbados,2770,74.9,,2004
Belarus,2900,69,0.00584,2004
Belgium,3720,79.1,0,2004
Belize,2780,72,0,2004
Benin,2460,58.5,0,2004
Bermuda,2460,,,2004
Bhutan,,68.6,0,2004
Bolivia,2050,68.6,1.07,2004
Bosnia and Herzegovina,3090,75.5,0.00389,2004
Botswana,2190,47.5,0,2004
Brazil,3080,72.3,15,2004
Brunei,3000,72.9,,2004
Bulgaria,2760,71,0,2004
Burkina Faso,2510,54.6,0,2004
Burundi,,49.2,0,2004
Cambodia,2280,62.9,4.31,2004
Cameroon,2250,54.6,0,2004
Canada,3530,80.2,0.109,2004
Cape Verde,2520,71.5,0,2004
Central African Republic,1990,44.8,0,2004
Chad,2030,53.2,0,2004
Chile,2920,77.6,0,2004
China,2860,72.5,0,2004
Colombia,2780,75.6,3.83,2004
Comoros,,63.8,0.27,2004
"Congo, Dem. Rep.",,55.5,0,2004
"Congo, Rep.",2260,56.1,0,2004
Costa Rica,2760,78.6,0.206,2004
Cote d'Ivoire,2740,52.6,0,2004
Croatia,2940,75.6,0,2004
Cuba,3350,77.8,,2004
Cyprus,2600,77.9,,2004
Czech Republic,3320,76.1,0,2004
Czechoslovakia,0,,,2004
Denmark,3380,78,0.0178,2004
Djibouti,2140,61,0,2004
Dominica,2960,72.3,,2004
Dominican Republic,2220,72.6,0.721,2004
Ecuador,2230,73.9,1.41,2004
Egypt,3310,68.5,0,2004
El Salvador,2570,73.6,0.485,2004
Equatorial Guinea,,60.9,,2004
Eritrea,,57.4,,2004
Estonia,3080,72.5,0,2004
Eswatini,2470,43.1,0,2004
Ethiopia,1880,55.9,0,2004
Fiji,2900,67.1,0,2004
Finland,3190,79,0,2004
France,3560,80.3,0,2004
French Polynesia,2910,,,2004
Gabon,2680,60.2,0,2004
Gambia,2470,62,0,2004
Georgia,2900,70.7,0.652,2004
Germany,3410,79.3,0,2004
Ghana,2680,59.8,0,2004
Greece,3720,79.2,0.112,2004
Grenada,2380,71.8,,2004
Guatemala,2320,68.4,2.04,2004
Guinea,2430,55.7,0,2004
Guinea-Bissau,2260,52.7,0,2004
Guyana,2690,64.3,0,2004
Haiti,1890,57.5,0,2004
Honduras,2480,70.7,1.66,2004
"Hong Kong, China",3210,81.7,,2004
Hungary,3190,73.1,0,2004
Iceland,3290,81.4,,2004
India,2260,65.2,0,2004
Indonesia,2470,66.3,0,2004
Iran,3090,73.2,0,2004
Iraq,2370,68.3,0,2004
Ireland,3570,78.7,0,2004
Israel,3620,79.9,0,2004
Italy,3630,80.8,0.387,2004
Jamaica,2790,76.8,0.00632,2004
Japan,2840,82.5,0,2004
Jordan,3120,74,0,2004
Kazakhstan,2980,64.6,0.218,2004
Kenya,2020,55.7,0,2004
Kiribati,2840,57.5,,2004
Kuwait,3510,78.8,,2004
Kyrgyz Republic,2740,67.4,0.561,2004
Lao,2210,61.1,0,2004
Latvia,3080,71.3,0.00249,2004
Lebanon,3180,75.4,,2004
Lesotho,2540,44.2,0,2004
Liberia,2090,58.5,0,2004
Libya,,76.4,,2004
Lithuania,3360,72,0.00203,2004
Luxembourg,3490,79.2,,2004
"Macao, China",2760,,,2004
Madagascar,1980,60.6,0,2004
Malawi,2170,48,9.42,2004
Malaysia,2830,73.8,0.137,2004
Maldives,2440,73.9,0.00433,2004
Mali,2540,55.6,0,2004
Malta,3370,79.6,,2004
Marshall Islands,,63.1,,2004
Mauritania,2600,65.5,0.776,2004
Mauritius,3020,73.2,,2004
Mexico,3110,75,1.75,2004
"Micronesia, Fed. Sts.",,63.7,0,2004
Moldova,2580,69.4,0.24,2004
Monaco,,79,,2004
Mongolia,2230,62.5,,2004
Montenegro,0,73.8,0,2004
Morocco,3260,70.5,0,2004
Mozambique,2060,52.1,0,2004
Myanmar,2090,60.8,,2004
Namibia,2270,52.4,0.639,2004
Nauru,,58.7,,2004
Nepal,2370,67.2,0,2004
Netherlands,3200,79.3,0.111,2004
Netherlands Antilles,3080,,,2004
New Caledonia,2750,,,2004
New Zealand,3160,79.4,,2004
Nicaragua,2360,73.7,0,2004
Niger,2450,55,0,2004
Nigeria,2660,56,84.1,2004
North Korea,2210,69.8,,2004
North Macedonia,2870,72.2,0.0109,2004
Norway,3480,80.1,0.0156,2004
Oman,2660,70.2,,2004
Pakistan,2340,61.8,0,2004
Palau,,66.8,,2004
Palestine,,69.8,0.00744,2004
Panama,2250,78.2,0.328,2004
Papua New Guinea,,62.3,0,2004
Paraguay,2660,75.2,0.323,2004
Peru,2300,76.7,1.85,2004
Philippines,2460,70.4,0,2004
Poland,3380,75,0.0191,2004
Portugal,3540,78.4,,2004
Qatar,,72.2,,2004
Romania,3350,72,0,2004
Russia,3110,65.5,1.01,2004
Rwanda,1970,56.3,0,2004
Samoa,2880,69,,2004
San Marino,,81.6,,2004
Sao Tome and Principe,2510,66.5,0,2004
Saudi Arabia,2960,71.1,,2004
Senegal,2250,62.7,0,2004
Serbia,0,72.3,0.0306,2004
Serbia and Montenegro,2700,,,2004
Seychelles,,72,0,2004
Sierra Leone,2020,52.9,0,2004
Singapore,,80.7,,2004
Slovak Republic,2820,74.6,0.00913,2004
Slovenia,3160,77.4,0.0012,2004
Solomon Islands,2400,56.8,,2004
Somalia,,52.8,,2004
South Africa,2940,52.2,0,2004
South Korea,3100,78.3,,2004
South Sudan,,58.9,,2004
Spain,3250,80.3,0.575,2004
Sri Lanka,2350,69,0,2004
St. Kitts and Nevis,2470,71.2,,2004
St. Lucia,2650,74,0,2004
St. Vincent and the Grenadines,2710,72.3,,2004
Sudan,2270,64.2,0,2004
Suriname,2560,70.1,0,2004
Sweden,3150,80.7,0,2004
Switzerland,3410,81.4,0.0495,2004
Syria,,74.1,0.302,2004
Taiwan,2990,77.9,,2004
Tajikistan,1980,67.5,1.38,2004
Tanzania,2100,55.9,0,2004
Thailand,2650,73.7,0,2004
Timor-Leste,2040,67.1,0,2004
Togo,2250,56.7,0,2004
Tonga,,71.4,,2004
Trinidad and Tobago,2780,71.6,0,2004
Tunisia,3250,75.1,0,2004
Turkey,3610,76.3,0.943,2004
Turkmenistan,2810,66.2,0,2004
Tuvalu,,65.5,,2004
UAE,3290,69.1,,2004
Uganda,2350,52.6,0,2004
UK,3450,79,0.402,2004
Ukraine,3190,68,0.019,2004
Uruguay,2830,75.2,0.0396,2004
USA,3810,77.7,2.93,2004
USSR,0,,,2004
Uzbekistan,2390,64.8,,2004
Vanuatu,2750,63.7,,2004
Venezuela,2490,74.6,4.17,2004
Vietnam,2480,72.7,25.6,2004
Yemen,2070,65.3,0,2004
Yugoslavia,0,,,2004
Zambia,1870,47.7,7.18,2004
Zimbabwe,2040,46.4,,2004
Afghanistan,1950,57.6,,2005
Albania,2870,76.2,0.0132,2005
Algeria,2960,72.9,0,2005
Andorra,,81.4,,2005
Angola,2080,56.4,0,2005
Antigua and Barbuda,2330,75.9,,2005
Argentina,3110,75.3,1.79,2005
Armenia,2670,73,0.127,2005
Australia,3100,81.2,0,2005
Austria,3640,79.8,0,2005
Azerbaijan,2840,67.3,0,2005
Bahamas,2650,73.2,,2005
Bahrain,,72.7,,2005
Bangladesh,2370,67.4,72.2,2005
Barbados,2890,75.2,,2005
Belarus,2990,68.8,0.0058,2005
Belgium,3720,79.3,0,2005
Belize,2820,72.4,0,2005
Benin,2440,58.8,0,2005
Bermuda,2520,,,2005
Bhutan,,69,0,2005
Bolivia,2110,69,1.71,2005
Bosnia and Herzegovina,3040,75.3,0,2005
Botswana,2200,49.9,0,2005
Brazil,3080,72.8,13.4,2005
Brunei,2980,73,,2005
Bulgaria,2720,71.1,0,2005
Burkina Faso,2460,55.3,0,2005
Burundi,,50.3,0,2005
Cambodia,2330,63.7,0,2005
Cameroon,2310,55,0,2005
Canada,3480,80.4,0,2005
Cape Verde,2520,71.8,0,2005
Central African Republic,2030,45.2,0,2005
Chad,2030,53.7,0,2005
Chile,2910,77.9,0,2005
China,2880,73,206,2005
Colombia,2730,76.5,3.4,2005
Comoros,,64.1,0,2005
"Congo, Dem. Rep.",,56.1,0,2005
"Congo, Rep.",2040,57,1.92,2005
Costa Rica,2810,79.4,0.154,2005
Cote d'Ivoire,2790,53.5,0,2005
Croatia,2980,75.6,0,2005
Cuba,3250,77.7,,2005
Cyprus,2570,77.9,,2005
Czech Republic,3320,76.4,0,2005
Czechoslovakia,0,,,2005
Denmark,3410,78.3,0,2005
Djibouti,2270,61.4,0,2005
Dominica,2920,72.6,,2005
Dominican Republic,2330,72.6,0.503,2005
Ecuador,2250,73.6,1.26,2005
Egypt,3370,68.8,1.62,2005
El Salvador,2570,73.6,0.432,2005
Equatorial Guinea,,61.1,,2005
Eritrea,,57.7,,2005
Estonia,3170,73,0.00975,2005
Eswatini,2370,43.3,0,2005
Ethiopia,1980,57,29.7,2005
Fiji,2940,67.1,0,2005
Finland,3200,79.3,0,2005
France,3540,80.6,0.208,2005
French Polynesia,2910,,,2005
Gabon,2720,61.1,0.084,2005
Gambia,2440,62.2,0,2005
Georgia,2980,71,0.648,2005
Germany,3450,79.6,0,2005
Ghana,2750,60,0,2005
Greece,3590,79.4,0,2005
Grenada,2370,72.4,,2005
Guatemala,2380,68.4,0,2005
Guinea,2440,56,0,2005
Guinea-Bissau,2270,52.8,0,2005
Guyana,2690,64.4,0,2005
Haiti,1880,59,0,2005
Honduras,2490,70.9,1.78,2005
"Hong Kong, China",3220,81.9,,2005
Hungary,3270,73.1,0,2005
Iceland,3320,81.6,,2005
India,2270,65.4,469,2005
Indonesia,2470,68.3,48.4,2005
Iran,3070,73.5,1.02,2005
Iraq,2350,67.7,0,2005
Ireland,3490,79.1,0,2005
Israel,3630,80.3,0.0464,2005
Italy,3570,81,0,2005
Jamaica,2800,77.4,0,2005
Japan,2830,82.5,0,2005
Jordan,3120,74.1,0,2005
Kazakhstan,3030,64.6,0.00303,2005
Kenya,2160,56.5,15.5,2005
Kiribati,2940,57.7,,2005
Kuwait,3580,78.7,,2005
Kyrgyz Republic,2750,67.4,1.03,2005
Lao,2270,61.7,0,2005
Latvia,3140,70.9,0,2005
Lebanon,3120,75.4,,2005
Lesotho,2570,43.9,0,2005
Liberia,2160,59.2,0,2005
Libya,,76.8,,2005
Lithuania,3460,71.3,0.0568,2005
Luxembourg,3500,79.5,,2005
"Macao, China",2840,,,2005
Madagascar,2060,61.1,15.1,2005
Malawi,2190,48.9,0,2005
Malaysia,2790,74.1,0,2005
Maldives,2460,75.8,0,2005
Mali,2580,56.2,0,2005
Malta,3370,80,,2005
Marshall Islands,,63.1,,2005
Mauritania,2630,65.8,0,2005
Mauritius,3010,73.2,,2005
Mexico,3070,75,5.46,2005
"Micronesia, Fed. Sts.",,63.8,0,2005
Moldova,2630,68.9,0.449,2005
Monaco,,79,,2005
Mongolia,2250,62.9,,2005
Montenegro,0,73.8,0.00154,2005
Morocco,3210,70.8,0,2005
Mozambique,2040,52.1,0,2005
Myanmar,2140,61.4,,2005
Namibia,2240,53.5,0,2005
Nauru,,58.8,,2005
Nepal,2410,67.7,0,2005
Netherlands,3230,79.6,0,2005
Netherlands Antilles,3090,,,2005
New Caledonia,2750,,,2005
New Zealand,3180,79.8,,2005
Nicaragua,2400,73.5,0.155,2005
Niger,2440,55.6,6.76,2005
Nigeria,2710,56.6,0,2005
North Korea,2180,70,,2005
North Macedonia,2780,72.5,0.00585,2005
Norway,3520,80.4,0,2005
Oman,2720,70.3,,2005
Pakistan,2360,61,35.7,2005
Palau,,66.8,,2005
Palestine,,71.1,0,2005
Panama,2330,78.2,0.319,2005
Papua New Guinea,,62.2,0,2005
Paraguay,2600,75.6,0.36,2005
Peru,2410,77.2,2.17,2005
Philippines,2470,70.3,0,2005
Poland,3370,75.2,0.0305,2005
Portugal,3530,78.8,,2005
Qatar,,72.3,,2005
Romania,3400,72.4,0,2005
Russia,3200,65,0.315,2005
Rwanda,2040,58.2,0,2005
Samoa,2890,69,,2005
San Marino,,81.6,,2005
Sao Tome and Principe,2550,66.7,0,2005
Saudi Arabia,2990,71.2,,2005
Senegal,2240,63.2,3.78,2005
Serbia,0,72.3,0.0439,2005
Serbia and Montenegro,2700,,,2005
Seychelles,,72.2,0,2005
Sierra Leone,2080,53.3,0,2005
Singapore,,81.3,,2005
Slovak Republic,2840,74.5,0.00269,2005
Slovenia,3070,78.1,0.0016,2005
Solomon Islands,2430,56.8,,2005
Somalia,,53.5,,2005
South Africa,2950,52.1,0,2005
South Korea,3100,78.8,,2005
South Sudan,,59.3,,2005
Spain,3220,80.6,0,2005
Sri Lanka,2350,73.3,0,2005
St. Kitts and Nevis,2410,71.4,,2005
St. Lucia,2650,74.3,0,2005
St. Vincent and the Grenadines,2780,72.6,,2005
Sudan,2300,65.5,0,2005
Suriname,2610,70.6,0,2005
Sweden,3120,81,0.0316,2005
Switzerland,3390,81.7,0,2005
Syria,,74.4,0,2005
Taiwan,2990,77.9,,2005
Tajikistan,2060,67.5,0,2005
Tanzania,2130,56.5,0,2005
Thailand,2720,74.8,0,2005
Timor-Leste,2030,67.7,0,2005
Togo,2240,56.9,0,2005
Tonga,,72,,2005
Trinidad and Tobago,2760,71.9,0,2005
Tunisia,3220,75.4,0.138,2005
Turkey,3610,76.8,0.982,2005
Turkmenistan,2830,65.8,0,2005
Tuvalu,,65.7,,2005
UAE,3210,69.2,,2005
Uganda,2330,53.9,0,2005
UK,3440,79.3,0,2005
Ukraine,3210,67.8,0.0236,2005
Uruguay,2810,75.5,0.0436,2005
USA,3830,77.7,0,2005
USSR,0,,,2005
Uzbekistan,2470,64.5,,2005
Vanuatu,2780,63.8,,2005
Venezuela,2490,75,3.52,2005
Vietnam,2470,72.8,0,2005
Yemen,2090,65.8,1.97,2005
Yugoslavia,0,,,2005
Zambia,1870,48.7,0,2005
Zimbabwe,2030,46.8,,2005
Afghanistan,1970,58,,2006
Albania,2860,76.9,0,2006
Algeria,3050,73.3,0,2006
Andorra,,81.5,,2006
Angola,2120,57,0,2006
Antigua and Barbuda,2330,75.9,,2006
Argentina,3110,75.4,1.47,2006
Armenia,2760,73.1,0.0952,2006
Australia,3160,81.5,0,2006
Austria,3720,80.1,0,2006
Azerbaijan,3010,67.7,0,2006
Bahamas,2630,73,,2006
Bahrain,,73,,2006
Bangladesh,2370,67.8,0,2006
Barbados,2840,75.4,,2006
Belarus,3080,69.5,0.0048,2006
Belgium,3720,79.6,0,2006
Belize,2800,72.6,0,2006
Benin,2450,59.1,0,2006
Bermuda,2590,,,2006
Bhutan,,69.5,0,2006
Bolivia,2160,69.3,1.51,2006
Bosnia and Herzegovina,3020,75.6,0,2006
Botswana,2150,51.4,0,2006
Brazil,3100,73.1,11.2,2006
Brunei,2970,73.2,,2006
Bulgaria,2760,71.2,0,2006
Burkina Faso,2560,56,0,2006
Burundi,,54.5,6.54,2006
Cambodia,2380,64.5,0,2006
Cameroon,2350,55.4,0,2006
Canada,3470,80.7,0,2006
Cape Verde,2510,72.9,0,2006
Central African Republic,2030,45.6,0,2006
Chad,2020,53.9,0,2006
Chile,2960,78.2,0.177,2006
China,2880,73.7,0,2006
Colombia,2770,76.7,4.84,2006
Comoros,,64.4,0,2006
"Congo, Dem. Rep.",,56.7,48.8,2006
"Congo, Rep.",2140,57.8,0,2006
Costa Rica,2870,79.1,0.163,2006
Cote d'Ivoire,2780,54.4,0,2006
Croatia,3070,76,0,2006
Cuba,3260,78.4,,2006
Cyprus,2560,78.2,,2006
Czech Republic,3280,77,0.00717,2006
Czechoslovakia,0,,,2006
Denmark,3410,78.5,0,2006
Djibouti,2310,61.4,0,2006
Dominica,2920,72.6,,2006
Dominican Republic,2370,72.7,0.401,2006
Ecuador,2230,73.6,0.858,2006
Egypt,3390,68.9,0,2006
El Salvador,2580,73.7,0.26,2006
Equatorial Guinea,,62,,2006
Eritrea,,58.3,,2006
Estonia,3200,73.3,0.00983,2006
Eswatini,2330,44.1,0,2006
Ethiopia,1970,58.2,0,2006
Fiji,2950,67.1,0,2006
Finland,3240,79.6,0,2006
France,3510,80.8,0,2006
French Polynesia,2900,,,2006
Gabon,2720,61.7,0,2006
Gambia,2400,62.4,0,2006
Georgia,2860,71.5,0.61,2006
Germany,3470,79.9,0,2006
Ghana,2820,60.3,6.28,2006
Greece,3490,79.7,0,2006
Grenada,2400,72.5,,2006
Guatemala,2420,68.9,1.75,2006
Guinea,2500,56.3,0,2006
Guinea-Bissau,2250,53.6,0,2006
Guyana,2660,65,0,2006
Haiti,1940,59.5,0,2006
Honduras,2530,71.1,1.58,2006
"Hong Kong, China",3250,82.1,,2006
Hungary,3280,73.5,0.0131,2006
Iceland,3400,81.7,,2006
India,2330,65.6,0,2006
Indonesia,2480,68.4,0,2006
Iran,3000,74,0,2006
Iraq,2370,66.6,0,2006
Ireland,3500,79.4,0,2006
Israel,3620,80.4,0,2006
Italy,3630,81.3,0,2006
Jamaica,2790,77.5,0,2006
Japan,2780,82.8,0,2006
Jordan,3150,74.5,0.0138,2006
Kazakhstan,3070,64.8,0.0628,2006
Kenya,2160,57.5,0,2006
Kiribati,2900,58,,2006
Kuwait,3590,78.8,,2006
Kyrgyz Republic,2660,67.2,0.698,2006
Lao,2240,62.3,0,2006
Latvia,3210,70.5,0.0264,2006
Lebanon,3130,75.1,,2006
Lesotho,2600,44.2,0,2006
Liberia,2120,60,0,2006
Libya,,76.9,,2006
Lithuania,3470,70.9,0.0458,2006
Luxembourg,3510,79.8,,2006
"Macao, China",2830,,,2006
Madagascar,2080,61.5,0,2006
Malawi,2270,50.1,0,2006
Malaysia,2810,74.4,0,2006
Maldives,2390,76.3,0,2006
Mali,2650,56.6,6.34,2006
Malta,3370,80.3,,2006
Marshall Islands,,63.2,,2006
Mauritania,2600,66.5,0,2006
Mauritius,3020,73.3,,2006
Mexico,3080,75.3,0.762,2006
"Micronesia, Fed. Sts.",,63.8,0,2006
Moldova,2690,69.4,0.0778,2006
Monaco,,79,,2006
Mongolia,2290,63.5,,2006
Montenegro,3280,73.9,0.00086,2006
Morocco,3270,71,0,2006
Mozambique,2110,52.3,0,2006
Myanmar,2210,62,,2006
Namibia,2230,55.3,0,2006
Nauru,,58.9,,2006
Nepal,2380,68,0,2006
Netherlands,3210,80,0,2006
Netherlands Antilles,3090,,,2006
New Caledonia,2770,,,2006
New Zealand,3150,80,,2006
Nicaragua,2410,74.3,0,2006
Niger,2440,56.7,0,2006
Nigeria,2730,57.2,0,2006
North Korea,2140,70.2,,2006
North Macedonia,2830,72.3,0.0193,2006
Norway,3450,80.5,0,2006
Oman,2770,70.1,,2006
Pakistan,2380,62.3,36.3,2006
Palau,,66.9,,2006
Palestine,,69.6,0,2006
Panama,2350,78.2,0.349,2006
Papua New Guinea,,62.2,0,2006
Paraguay,2620,75.6,0.523,2006
Peru,2430,77.7,1.8,2006
Philippines,2510,70.2,19.7,2006
Poland,3350,75.3,0.00381,2006
Portugal,3520,79.2,,2006
Qatar,,72.1,,2006
Romania,3430,72.8,0,2006
Russia,3250,66.5,0.242,2006
Rwanda,2040,60.2,6.95,2006
Samoa,2860,69.2,,2006
San Marino,,81.6,,2006
Sao Tome and Principe,2550,67.2,0,2006
Saudi Arabia,3050,71.2,,2006
Senegal,2310,63.7,0,2006
Serbia,2750,72.7,0.0185,2006
Serbia and Montenegro,0,,,2006
Seychelles,,72.4,0,2006
Sierra Leone,2160,53.7,0,2006
Singapore,,81.6,,2006
Slovak Republic,2830,74.7,0,2006
Slovenia,3120,78.3,0.001,2006
Solomon Islands,2460,56.9,,2006
Somalia,,53.8,,2006
South Africa,2930,52.3,8.07,2006
South Korea,3110,79.3,,2006
South Sudan,,59.2,,2006
Spain,3230,81,0,2006
Sri Lanka,2380,73.6,0,2006
St. Kitts and Nevis,2430,71.5,,2006
St. Lucia,2630,74.6,0,2006
St. Vincent and the Grenadines,2800,72.9,,2006
Sudan,2330,65.8,0,2006
Suriname,2630,71.2,0,2006
Sweden,3090,81.1,0,2006
Switzerland,3430,81.9,0,2006
Syria,,74.5,0,2006
Taiwan,2950,78.5,,2006
Tajikistan,2060,67.6,0,2006
Tanzania,2140,57.3,0,2006
Thailand,2800,75.4,0.665,2006
Timor-Leste,2040,68.4,0,2006
Togo,2280,57.5,3.02,2006
Tonga,,72.1,,2006
Trinidad and Tobago,2800,72.5,0,2006
Tunisia,3270,75.5,0,2006
Turkey,3650,77,0.926,2006
Turkmenistan,2840,66.2,0,2006
Tuvalu,,66,,2006
UAE,3200,69.5,,2006
Uganda,2280,55.5,15.4,2006
UK,3440,79.5,0,2006
Ukraine,3240,68.4,0.0655,2006
Uruguay,2820,75.9,0.0243,2006
USA,3780,78,0,2006
USSR,0,,,2006
Uzbekistan,2560,65,,2006
Vanuatu,2800,63.9,,2006
Venezuela,2510,74.8,1.8,2006
Vietnam,2480,72.9,17.9,2006
Yemen,2120,66.2,0,2006
Yugoslavia,0,,,2006
Zambia,1840,50,8.07,2006
Zimbabwe,2120,47.4,,2006
Afghanistan,2050,58.5,,2007
Albania,2860,77.5,0,2007
Algeria,3040,73.6,0,2007
Andorra,,81.7,,2007
Angola,2170,58,0,2007
Antigua and Barbuda,2410,75.1,,2007
Argentina,3150,75.3,1.18,2007
Armenia,2760,73.5,0.101,2007
Australia,3200,81.5,0,2007
Austria,3740,80.3,0,2007
Azerbaijan,3020,68.2,0,2007
Bahamas,2610,73.6,,2007
Bahrain,,73.6,,2007
Bangladesh,2420,68.2,0,2007
Barbados,2910,75.5,,2007
Belarus,3190,70.4,0,2007
Belgium,3710,79.8,0,2007
Belize,2790,73.1,0,2007
Benin,2560,59.5,0,2007
Bermuda,2630,,,2007
Bhutan,,69.9,0.0694,2007
Bolivia,2170,69.6,1.18,2007
Bosnia and Herzegovina,3060,75.3,0.00155,2007
Botswana,2170,53.4,0,2007
Brazil,3110,73.3,11.1,2007
Brunei,2920,73.5,,2007
Bulgaria,2730,71.5,0.0196,2007
Burkina Faso,2550,56.5,0,2007
Burundi,,55.7,0,2007
Cambodia,2390,65.2,4.24,2007
Cameroon,2380,55.9,5.27,2007
Canada,3480,80.9,0.112,2007
Cape Verde,2570,73.2,0,2007
Central African Republic,2090,46.1,0,2007
Chad,2030,54.8,0,2007
Chile,2930,78.4,0,2007
China,2920,74.2,0,2007
Colombia,2800,77.3,3.93,2007
Comoros,,64.5,0,2007
"Congo, Dem. Rep.",,57.1,0,2007
"Congo, Rep.",2140,58.5,0,2007
Costa Rica,2860,80.3,0.0919,2007
Cote d'Ivoire,2790,55.3,0,2007
Croatia,3080,75.9,0,2007
Cuba,3250,78.5,,2007
Cyprus,2640,78.3,,2007
Czech Republic,3260,77.2,0,2007
Czechoslovakia,0,,,2007
Denmark,3450,78.7,0.0213,2007
Djibouti,2410,62.1,0,2007
Dominica,3040,72.5,,2007
Dominican Republic,2400,72.9,0.358,2007
Ecuador,2210,73.7,0.99,2007
Egypt,3450,69.2,0,2007
El Salvador,2570,74.1,0.174,2007
Equatorial Guinea,,62.5,,2007
Eritrea,,58.7,,2007
Estonia,3220,73.3,0.0063,2007
Eswatini,2310,44.9,0,2007
Ethiopia,1960,59.5,0,2007
Fiji,2920,67.1,0,2007
Finland,3280,79.7,0,2007
France,3470,81.1,0,2007
French Polynesia,2920,,,2007
Gabon,2710,62,0,2007
Gambia,2540,62.6,0,2007
Georgia,2900,72,0.647,2007
Germany,3530,80,0,2007
Ghana,2800,60.5,0,2007
Greece,3510,79.6,0.115,2007
Grenada,2400,72.6,,2007
Guatemala,2450,69.5,0,2007
Guinea,2510,56.5,3.95,2007
Guinea-Bissau,2290,54.3,0,2007
Guyana,2660,65.2,0,2007
Haiti,1970,60,0,2007
Honduras,2570,71.2,1.13,2007
"Hong Kong, China",3250,82.3,,2007
Hungary,3160,73.6,0,2007
Iceland,3460,81.9,,2007
India,2400,65.8,0,2007
Indonesia,2520,68.7,0,2007
Iran,3030,74.4,0,2007
Iraq,2380,67.2,0.969,2007
Ireland,3530,79.7,0,2007
Israel,3530,80.8,0.0237,2007
Italy,3620,81.5,0,2007
Jamaica,2790,76.3,0,2007
Japan,2820,82.9,0,2007
Jordan,3120,75.5,0,2007
Kazakhstan,3160,65.3,0.0248,2007
Kenya,2110,58.5,0,2007
Kiribati,2890,58.2,,2007
Kuwait,3570,79,,2007
Kyrgyz Republic,2680,67.6,0.1,2007
Lao,2280,62.9,2.11,2007
Latvia,3160,70.9,0,2007
Lebanon,3180,75.5,,2007
Lesotho,2560,45.1,0,2007
Liberia,2150,60.6,2.95,2007
Libya,,76,,2007
Lithuania,3560,70.6,0,2007
Luxembourg,3500,80.2,,2007
"Macao, China",2870,,,2007
Madagascar,2100,61.9,0,2007
Malawi,2290,51.6,0,2007
Malaysia,2840,74.5,0,2007
Maldives,2490,76.8,0,2007
Mali,2720,57.1,0,2007
Malta,3370,80.4,,2007
Marshall Islands,,63.4,,2007
Mauritania,2730,66.9,0,2007
Mauritius,3080,73.8,,2007
Mexico,3100,75.6,0,2007
"Micronesia, Fed. Sts.",,63.9,0,2007
Moldova,2750,69.6,0.0361,2007
Monaco,,79.1,,2007
Mongolia,2340,64,,2007
Montenegro,3410,74.1,0.00229,2007
Morocco,3250,71.2,0.788,2007
